Отметка времени,Ссылка на профиль,Старый позывной,Новый позывной,Дата смены ника,Статус,Причина отказа
12.08.2023 20:30:20,https://sg.zone/profile/Mineski,Memeski,Mineski,01.11.2021 3:00,Принято,
13.08.2023 0:17:02,https://sg.zone/profile/Bratok,Kuroles,Bratok,28 Июля 1:00 ,Отказано,Некорректная дата смены ника
14.08.2023 14:10:09,  https://sg.zone/profile/Bratok,Kuroles,Bratok,28.07.2023,Отказано,Дубль
14.08.2023 17:32:33,https://sg.zone/profile/Bratok,Kuroles,Bratok,28.07.2023 1:00,Принято,
19.09.2023 18:07:33,https://sg.zone/profile/Mineski,Mineski,Memeski,10.05.2021 00:00,Принято,
20.09.2023 15:08:14,https://sg.zone/profile,Neon / MaybeBaby / Gao / Kabluk / Gao,Gao,05.10.2022 00:11 ( Neon - MaybeBaby )13.03.2023 19:59 ( MaybeBaby - Gao ) .,Отказано,На каждую смену ника должна быть отдельная заявка. Ссылка на профиль не валидная
06.10.2023 22:08:06,https://sg.zone/profile/Markovnik,borigen,Markovnik,09.04.2023 01:03,Отказано,
06.10.2023 22:35:53,https://sg.zone/profile/Markovnik,Markovnik ,borigen,09.04.2023 01:03,Принято,
07.10.2023 0:44:42,https://sg.zone/profile/Markovnik,borigen,Markovnik ,06.10.2023 17:16,Принято,
16.10.2023 22:53:57,sg.zone/profile/absolute,Frexis,absolute,16.10.2023 17:15,Отказано,Заявка на изменения ника администрацией была отменена. По факту смены ника не было
11.11.2023 4:10:07,https://sg.zone/profile/Leo,Akhmat,Leo,09.11.2023 12:39,Принято,
18.11.2023 0:46:40,https://sg.zone/profile/Sterben,mit9,Sterben,17.11.2023 18:36,Принято,
30.11.2023 2:31:02,https://sg.zone/profile/Heisenberg,demid,Marked,02.04.2023 22:34,Принято,
30.11.2023 2:31:02,https://sg.zone/profile/Heisenberg,Marked,Heisenberg,29.11.2023 20:24,Принято,